# Time-averaged data for fix myat1
# TimeStep v_nO
1000 24
2000 24
3000 24
4000 24
5000 24
6000 24.4
7000 25
8000 25.5
9000 26
10000 26.9
11000 27.6
12000 28
13000 28.3
14000 29
15000 29
16000 29
17000 29
18000 29
19000 29.2
20000 30
21000 30
22000 30
23000 30
24000 30
25000 31
26000 31.6
27000 32
28000 32
29000 32
30000 32
31000 32
32000 32
33000 32
34000 32.1
35000 33
36000 33.1
37000 34
38000 34
39000 34
40000 34
41000 34
42000 34
43000 34
44000 34
45000 34
46000 34
47000 34
48000 34
49000 34
50000 34
51000 34
52000 34
53000 34
54000 34
55000 34
56000 34
57000 34
58000 34
59000 34
60000 34
61000 34
62000 34
63000 34
64000 34
65000 34
66000 34
67000 34
68000 34
69000 34
70000 34.2
71000 35
72000 35
73000 35
74000 35
75000 35
76000 35
77000 35
78000 35
79000 35
80000 35
81000 35
82000 35
83000 35
84000 35
85000 35
86000 35
87000 35
88000 35
89000 36
90000 36
91000 36
92000 36
93000 36
94000 36
95000 36
96000 36
97000 36
98000 36
99000 36
100000 36
101000 36
102000 36
103000 36
104000 36
105000 36
