Directory,Unique K Points,Energy (eV),Shifted
3 3 3 0 0 0,4.0,-944.8523544844821,nonshifted
4 4 4 0 0 0,8.0,-944.8180015785695,nonshifted
5 5 5 0 0 0,10.0,-944.8971346658653,nonshifted
6 6 6 0 0 0,16.0,-944.9761419003993,nonshifted
7 7 7 0 0 0,20.0,-944.9743323417704,nonshifted
8 8 8 0 0 0,29.0,-944.9911528014823,nonshifted
9 9 9 0 0 0,35.0,-944.9954243122456,nonshifted
10 10 10 0 0 0,47.0,-944.997923135838,nonshifted
3 3 3 1 1 1,6.0,-944.9838506201581,shifted
4 4 4 1 1 1,10.0,-945.0006903999697,shifted
5 5 5 1 1 1,19.0,-945.0000771908915,shifted
6 6 6 1 1 1,28.0,-945.0041035268691,shifted
7 7 7 1 1 1,44.0,-945.0040731861493,shifted
8 8 8 1 1 1,60.0,-945.0044476151228,shifted
9 9 9 1 1 1,85.0,-945.0043716952945,shifted
10 10 10 1 1 1,110.0,-945.0044161859464,shifted
