# equation of state: birch 1st order.  chisq =   0.3320D-05
# a0 =417.4081 a.u., k0 =    0 kbar, dk0 =  3.27 d2k0 =  0.000 emin = -945.02337
# a0 =220.88283 Ang, k0 =   0.0 GPa,  V0 = ******** (a.u.)^3,  V0 =******** A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# a.u.            Ry           Ry            Ry        GPa           Ry
#########################################################################
343.00000    -944.37614    -944.37821     0.00206       0.00     -942.00912
350.40262    -944.52000    -944.52021     0.00020       0.00     -942.45303
357.91100    -944.64398    -944.64232    -0.00166       0.00     -942.87013
365.52587    -944.74877    -944.74536    -0.00341       0.00     -943.25803
373.24800    -944.83152    -944.83031    -0.00121       0.00     -943.61161
381.07812    -944.89991    -944.89822    -0.00170       0.00     -943.93705
389.01700    -944.94811    -944.95021     0.00210       0.00     -944.22749
397.06537    -944.98373    -944.98744     0.00371       0.00     -944.49001
405.22400    -945.00827    -945.01105     0.00277       0.00     -944.72589
413.49362    -945.02082    -945.02216     0.00134       0.00     -944.93429
421.87500    -945.02208    -945.02186    -0.00022      -0.00     -945.11617
430.36887    -945.01251    -945.01121    -0.00130      -0.00     -945.27240
438.97600    -944.99023    -944.99120     0.00097      -0.00     -945.40166
447.69712    -944.96436    -944.96279    -0.00157      -0.00     -945.51366
456.53300    -944.92757    -944.92687    -0.00070      -0.00     -945.60173
465.48437    -944.88651    -944.88426    -0.00224      -0.00     -945.67324
474.55200    -944.83628    -944.83576    -0.00053      -0.00     -945.72400
483.73662    -944.78317    -944.78207    -0.00110      -0.00     -945.76100
493.03900    -944.72456    -944.72386    -0.00070      -0.00     -945.78235
502.45987    -944.66096    -944.66176     0.00080      -0.00     -945.78924
512.00000    -944.59392    -944.59631     0.00239      -0.00     -945.78391
